train_order,algorithm,features,n_features,train_time,mem_max,f1_weighted,accuracy,roc_auc_ovr_weighted,confusion_matrix
11,QuadraticDiscriminantAnalysis(),"('petal_length', 'sepal_length')",2,15.244948899999997,1396.26953125,0.9599331662489557,0.9600000000000002,0.9926666666666666,"[[10  0  0]
 [ 0  9  1]
 [ 0  0 10]]"
8,QuadraticDiscriminantAnalysis(),"('petal_length', 'sepal_width', 'sepal_length')",3,15.972266200000007,1386.765625,0.9465998329156224,0.9466666666666667,0.99,"[[10  0  0]
 [ 0  9  1]
 [ 0  0 10]]"
12,KNeighborsClassifier(n_neighbors=3),"('petal_length', 'sepal_length')",2,15.113519400000001,1396.56640625,0.9465329991645781,0.9466666666666667,0.9766666666666666,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
2,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1)),"('petal_length', 'sepal_width', 'sepal_length')",3,28.578942499999997,1385.6171875,0.9397817776765145,0.9400000000000001,0.983,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
3,DecisionTreeClassifier(max_depth=5),"('petal_length', 'sepal_width', 'sepal_length')",3,15.3764477,1385.65625,0.926516290726817,0.9266666666666667,0.9443333333333334,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
0,KNeighborsClassifier(n_neighbors=3),"('petal_length', 'sepal_width', 'sepal_length')",3,15.733475199999994,1380.0703125,0.9198663324979115,0.9199999999999999,0.9730000000000001,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
1,SVC(probability=True),"('petal_length', 'sepal_width', 'sepal_length')",3,15.621995999999996,1380.0703125,0.9125085440874916,0.9133333333333333,0.986,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
13,SVC(probability=True),"('petal_length', 'sepal_length')",2,15.589156399999979,1396.0390625,0.9125085440874916,0.9133333333333333,0.9870000000000001,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
4,"RandomForestClassifier(max_depth=5, max_features=1, n_estimators=10)","('petal_length', 'sepal_width', 'sepal_length')",3,8.24948640000001,1385.703125,0.9121286126266608,0.9066666666666666,0.9795,"[[10  0  0]
 [ 0  9  1]
 [ 0  0 10]]"
5,"MLPClassifier(alpha=1, max_iter=1000)","('petal_length', 'sepal_width', 'sepal_length')",3,14.296857100000011,1386.32421875,0.9057855597685993,0.8933333333333333,0.9816666666666667,"[[10  0  0]
 [ 0  9  1]
 [ 0  0 10]]"
7,GaussianNB(),"('petal_length', 'sepal_width', 'sepal_length')",3,15.009082699999993,1386.17578125,0.863560221953007,0.8666666666666666,0.9753333333333334,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
14,LogisticRegression(),"('petal_length', 'sepal_length')",2,15.519860199999982,1396.41015625,0.8422583072939783,0.8466666666666667,0.9586666666666666,"[[10  0  0]
 [ 2  6  2]
 [ 0  0 10]]"
10,LogisticRegression(),"('petal_length', 'sepal_width', 'sepal_length')",3,15.414726799999983,1396.08984375,0.837831681686844,0.8400000000000001,0.953,"[[10  0  0]
 [ 0  8  2]
 [ 0  1  9]]"
6,AdaBoostClassifier(),"('petal_length', 'sepal_width', 'sepal_length')",3,8.876418700000016,1386.3125,0.6876964088095365,0.74,0.9733333333333333,"[[10  0  0]
 [ 0  8  2]
 [ 0  0 10]]"
9,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, enable_categorical=False,
              eval_metric='mlogloss', gamma=0, gpu_id=-1, importance_type=None,
              interaction_constraints='', learning_rate=0.300000012,
              max_delta_step=0, max_depth=6, min_child_weight=1, missing=nan,
              monotone_constraints='()', n_estimators=100, n_jobs=12,
              num_parallel_tree=1, objective='multi:softprob', predictor='auto',
              random_state=0, reg_alpha=0, reg_lambda=1, scale_pos_weight=None,
              subsample=1, tree_method='exact', use_label_encoder=False,
              validate_parameters=1, ...)","('petal_length', 'sepal_width', 'sepal_length')",3,8.96670659999998,1396.41796875,,,,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
