train_order,algorithm,features,n_features,train_time,mem_max,roc_auc_ovr_weighted,f1_weighted,accuracy,confusion_matrix
1,SVC(probability=True),"('petal_length', 'sepal_width', 'sepal_length')",3,25.665027700000003,4200.8046875,1.0,0.9665831244778613,0.9666666666666667,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
36,AdaBoostClassifier(),"('petal_length', 'sepal_width')",2,20.66532519999987,4566.0546875,1.0,0.9665831244778613,0.9666666666666667,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
13,LogisticRegression(n_jobs=-1),"('petal_length', 'sepal_width', 'sepal_length')",3,14.400192100000027,4514.53125,1.0,0.9665831244778613,0.9666666666666667,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
21,"XGBClassifier(base_score=None, booster=None, colsample_bylevel=None,
              colsample_bynode=None, colsample_bytree=None,
              enable_categorical=False, eval_metric='mlogloss', gamma=None,
              gpu_id=None, importance_type=None, interaction_constraints=None,
              learning_rate=None, max_delta_step=None, max_depth=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, reg_alpha=None,
              reg_lambda=None, scale_pos_weight=None, subsample=None,
              tree_method=None, use_label_encoder=False,
              validate_parameters=None, verbosity=None)","('petal_length', 'sepal_length')",2,42.335046000000034,4579.390625,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
26,"StackingClassifier(estimators=[('e1', SVC(probability=True)),
                               ('e2',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None)),
                               ('e3', AdaBoostClassifier())],
                   n_jobs=-1)","('petal_length', 'sepal_width')",2,124.5193964,4549.76171875,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
31,RandomForestClassifier(n_jobs=-1),"('petal_length', 'sepal_width')",2,61.66685330000007,4576.54296875,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
9,"XGBClassifier(base_score=None, booster=None, colsample_bylevel=None,
              colsample_bynode=None, colsample_bytree=None,
              enable_categorical=False, eval_metric='mlogloss', gamma=None,
              gpu_id=None, importance_type=None, interaction_constraints=None,
              learning_rate=None, max_delta_step=None, max_depth=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, reg_alpha=None,
              reg_lambda=None, scale_pos_weight=None, subsample=None,
              tree_method=None, use_label_encoder=False,
              validate_parameters=None, verbosity=None)","('petal_length', 'sepal_width', 'sepal_length')",3,46.513393200000024,4536.17578125,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
24,HistGradientBoostingClassifier(),"('petal_length', 'sepal_width')",2,29.89087070000005,4550.3515625,1.0,0.9665831244778613,0.9666666666666667,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
20,AdaBoostClassifier(),"('petal_length', 'sepal_length')",2,16.566258600000083,4527.33984375,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
6,AdaBoostClassifier(),"('petal_length', 'sepal_width', 'sepal_length')",3,16.149057700000014,4289.765625,1.0,0.9665831244778613,0.9666666666666667,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
14,"VotingClassifier(estimators=[('e1', SVC(probability=True)),
                             ('e2',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e3', LogisticRegression(n_jobs=-1))],
                 n_jobs=-1)","('petal_length', 'sepal_width', 'sepal_length')",3,20.264114699999993,4518.453125,1.0,0.9665831244778613,0.9666666666666667,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
4,RandomForestClassifier(n_jobs=-1),"('petal_length', 'sepal_width', 'sepal_length')",3,64.76762169999999,4296.5546875,1.0,0.9665831244778613,0.9666666666666667,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
18,LogisticRegression(n_jobs=-1),"('petal_length', 'sepal_width')",2,17.117994899999985,4525.71484375,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
33,HistGradientBoostingClassifier(),"('petal_length',)",1,28.722851399999854,4559.34765625,1.0,0.9665831244778613,0.9666666666666667,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
29,HistGradientBoostingClassifier(),"('petal_length', 'sepal_length')",2,31.455312700000036,4563.8984375,1.0,0.9665831244778613,0.9666666666666667,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
19,"StackingClassifier(estimators=[('e1', SVC(probability=True)),
                               ('e2',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None)),
                               ('e3', AdaBoostClassifier())],
                   n_jobs=-1)","('petal_length', 'sepal_length')",2,54.05714029999996,4526.25390625,1.0,1.0,1.0,"[[10  0  0]
 [ 0 10  0]
 [ 0  0 10]]"
17,"VotingClassifier(estimators=[('e1', SVC(probability=True)),
                             ('e2',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None)),
                             ('e3', LogisticRegression(n_jobs=-1))],
                 n_jobs=-1)","('petal_length', 'sepal_length')",2,21.159022400000026,4525.703125,1.0,0.9665831244778613,0.9666666666666667,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
