alteracoes_com,alteracoes_da,alteracoes_para,com_problema
0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.721,0.0,0.693,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.721,0.0,0.693,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
0.721,0.0,0.693,0.0
0.721,0.0,0.693,0.0
0.0,0.7275,0.686,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.871,0.4438,0.2092,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.2439,0.2485,0.9375,1.0
0.581,0.592,0.5586,0.0
0.0,0.0,0.0,0.0
0.721,0.0,0.693,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.3108,0.3167,0.896,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.7007,0.714,0.0,1.0
0.0,1.0,0.0,1.0
0.664,0.6763,0.3188,0.0
0.0,0.0,1.0,0.0
0.615,0.0,0.788,0.0
0.0,0.9043,0.4265,1.0
0.0,0.9043,0.4265,0.0
0.0,0.0,0.0,0.0
0.8193,0.4172,0.3936,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.9014,0.0,0.433,0.0
1.0,0.0,0.0,0.0
0.8203,0.557,0.1313,0.0
0.0,0.7275,0.686,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.4058,0.8267,0.39,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.2979,0.9106,0.2864,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.7275,0.686,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.721,0.0,0.693,0.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.7275,0.686,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
0.581,0.592,0.5586,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.7275,0.686,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.7275,0.686,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.721,0.0,0.693,1.0
0.0,0.0,1.0,0.0
0.0,0.7275,0.686,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0
0.8096,0.275,0.5186,0.0
0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
0.4617,0.0,0.887,1.0
0.1996,0.2032,0.9585,1.0
0.891,0.4539,0.0,0.0
0.0,1.0,0.0,1.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.1996,0.2032,0.9585,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.7275,0.686,0.0
0.721,0.0,0.693,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,0.7275,0.686,1.0
0.721,0.0,0.693,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.721,0.0,0.693,1.0
0.581,0.592,0.5586,0.0
0.891,0.4539,0.0,0.0
0.0,0.7275,0.686,0.0
0.4177,0.4255,0.8027,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0
0.4617,0.0,0.887,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
