alteracoes_da,alteracoes_em,alteracoes_para,com_problema
0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.4172,0.9087,0.0,1.0
1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.6924,0.0,0.7217,1.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0
0.6763,0.737,0.0,0.0
0.0,0.0,0.0,0.0
0.3826,0.8335,0.399,0.0
0.5527,0.602,0.576,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
0.6924,0.0,0.7217,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.7983,0.4348,0.4163,0.0
0.0,0.0,1.0,1.0
0.0,0.7227,0.6914,0.0
0.0,0.0,1.0,0.0
