alteracoes_da,alteracoes_para,alteracoes_vtr,com_problema
0.0,0.0,0.0,0.0
0.6924,0.7217,0.0,1.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.4155,0.9097,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,0.675,0.7383,0.0
0.0,0.0,0.0,1.0
0.5435,0.5664,0.6196,1.0
1.0,0.0,0.0,0.0
0.1583,0.825,0.542,1.0
0.0,0.0,0.0,1.0
0.8867,0.4622,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.675,0.7383,0.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0
0.767,0.2666,0.5835,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.4155,0.9097,0.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
