alteracoes_com,alteracoes_na,alteracoes_para,com_problema
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.4473,0.0,0.8945,0.0
0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0
0.0,0.0,0.0,1.0
0.707,0.0,0.707,0.0
0.798,0.4521,0.399,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.915,0.4036,1.0
0.4473,0.0,0.8945,1.0
0.0,0.75,0.6616,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.4932,0.87,0.0
0.0,0.915,0.4036,1.0
0.8945,0.0,0.4473,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.6616,0.75,0.0,1.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0
0.6616,0.75,0.0,1.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
0.6616,0.75,0.0,1.0
