alteracoes_com,alteracoes_em,alteracoes_para,com_problema
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.2307,0.931,0.2822,1.0
0.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0
0.3203,0.8623,0.3918,1.0
0.0,0.0,0.0,0.0
0.5967,0.8027,0.0,1.0
0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
0.633,0.0,0.774,1.0
0.633,0.0,0.774,0.0
0.0,0.0,0.0,0.0
0.5967,0.8027,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
0.3784,0.0,0.926,0.0
0.0,0.0,0.0,0.0
0.7397,0.4978,0.4524,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0
